Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-04-03,DIV-2025-04-03,MMW-,10001,"2025-04-03 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - MUST,,3.06,,,published,
2025-04-03,DIV-2025-04-03,MMW-,10001,"2025-04-03 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - JEPI,,9.69,,,published,
2025-04-03,DIV-2025-04-03,MMW-,10001,"2025-04-03 Dividends - JEPI, MUST",both,USD,Income - Ordinary Dividends,"Income - JEPI, MUST",,,12.75,,published,
2025-04-07,DIV-2025-04-07,MMW-,10002,2025-04-07 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,6.55,,,published,
2025-04-07,DIV-2025-04-07,MMW-,10002,2025-04-07 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,6.55,,published,
2025-04-11,DIV-2025-04-11,MMW-,10003,2025-04-11 Dividends - ALCO,both,USD,Cash - Fidelity Cash Management Account,Dividend - ALCO,,0.38,,,published,
2025-04-11,DIV-2025-04-11,MMW-,10003,2025-04-11 Dividends - ALCO,both,USD,Income - Ordinary Dividends,Income - ALCO,,,0.38,,published,
2025-04-15,DIV-2025-04-15,MMW-,10004,"2025-04-15 Dividends - ECL, FPI",both,USD,Cash - Fidelity Cash Management Account,Dividend - ECL,,1.25,,,published,
2025-04-15,DIV-2025-04-15,MMW-,10004,"2025-04-15 Dividends - ECL, FPI",both,USD,Cash - Fidelity Cash Management Account,Dividend - FPI,,3.27,,,published,
2025-04-15,DIV-2025-04-15,MMW-,10004,"2025-04-15 Dividends - ECL, FPI",both,USD,Income - Ordinary Dividends,"Income - ECL, FPI",,,4.52,,published,
2025-04-25,DIV-2025-04-25,MMW-,10005,2025-04-25 Dividends - SPYI,both,USD,Cash - Fidelity Cash Management Account,Dividend - SPYI,,71.32,,,published,
2025-04-25,DIV-2025-04-25,MMW-,10005,2025-04-25 Dividends - SPYI,both,USD,Income - Ordinary Dividends,Income - SPYI,,,71.32,,published,
2025-04-28,DIV-2025-04-28,MMW-,10006,"2025-04-28 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - QYLD,,29.19,,,published,
2025-04-28,DIV-2025-04-28,MMW-,10006,"2025-04-28 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - RYLD,,29.14,,,published,
2025-04-28,DIV-2025-04-28,MMW-,10006,"2025-04-28 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYLD,,19.51,,,published,
2025-04-28,DIV-2025-04-28,MMW-,10006,"2025-04-28 Dividends - QYLD, RYLD, XYLD",both,USD,Income - Ordinary Dividends,"Income - QYLD, RYLD, XYLD",,,77.84,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - CWCO,,2.11,,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDRXX,,23.55,,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - SPAXX,,6.88,,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - LAND,,2.60,,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - GWRS,,0.19,,,published,
2025-04-30,DIV-2025-04-30,MMW-,10007,"2025-04-30 Dividends - CWCO, FDRXX, GWRS, LAND, SPAXX",both,USD,Income - Ordinary Dividends,"Income - CWCO, FDRXX, GWRS, LAND, SPAXX",,,35.33,,published,
