Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-01-08,DIV-2025-01-08,MMW-,1,"2025-01-08 Dividends - FPI",both,USD,Cash - Fidelity Cash Management Account,"Dividend - FPI",,62.73,,,published,
2025-01-08,DIV-2025-01-08,MMW-,1,"2025-01-08 Dividends - FPI",both,USD,Income - Ordinary Dividend,"Income - FPI",,,62.73,,published,
2025-01-10,DIV-2025-01-10,MMW-,2,"2025-01-10 Dividends - ALCO",both,USD,Cash - Fidelity Cash Management Account,"Dividend - ALCO",,0.38,,,published,
2025-01-10,DIV-2025-01-10,MMW-,2,"2025-01-10 Dividends - ALCO",both,USD,Income - Ordinary Dividend,"Income - ALCO",,,0.38,,published,
2025-01-15,DIV-2025-01-15,MMW-,3,"2025-01-15 Dividends - ECL, FPI",both,USD,Cash - Fidelity Cash Management Account,"Dividend - ECL",,1.25,,,published,
2025-01-15,DIV-2025-01-15,MMW-,3,"2025-01-15 Dividends - ECL, FPI",both,USD,Cash - Fidelity Cash Management Account,"Dividend - FPI",,3.27,,,published,
2025-01-15,DIV-2025-01-15,MMW-,3,"2025-01-15 Dividends - ECL, FPI",both,USD,Income - Ordinary Dividend,"Income - ECL, FPI",,,4.52,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Cash - Fidelity Cash Management Account,"Dividend - CWCO",,2.11,,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Cash - Fidelity Cash Management Account,"Dividend - FDRXX",,4.62,,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Cash - Fidelity Cash Management Account,"Dividend - SPAXX",,0.01,,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Cash - Fidelity Cash Management Account,"Dividend - LAND",,2.60,,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Cash - Fidelity Cash Management Account,"Dividend - GWRS",,0.19,,,published,
2025-01-31,DIV-2025-01-31,MMW-,4,"2025-01-31 Dividends - CWCO, FDRXX, SPAXX, LAND, GWRS",both,USD,Income - Ordinary Dividend,"Income - CWCO, FDRXX, SPAXX, LAND, GWRS",,,9.53,,published,
