Journal Number,Journal Number Prefix,Journal Number Suffix,Journal Date,Journal Type,Reference Number,Journal Entity Type,Description,Debit,Credit,Account,Account Code,Total,Notes
MMW-26,MMW-,26,2024-11-29,Both,,Journal,FDRXX,0,9.480,Income - Ordinary Dividend,4001-001,14.950,November 2024 SPAXX / FDRXX Dividend Payment
MMW-27,MMW-,27,2024-12-05,Both,,Journal,,10000.000,0,Cash - Fidelity Cash Management Account,1001-001,10000.000,Dec 2024 Capital Contribution
MMW-27,MMW-,27,2024-12-05,Both,,Journal,,0,5000.000,Family Capital - MJFII,3001-000-001,10000.000,Dec 2024 Capital Contribution
MMW-27,MMW-,27,2024-12-05,Both,,Journal,,0,5000.000,Family Capital - MEF,3001-000-002,10000.000,Dec 2024 Capital Contribution
MMW-28,MMW-,28,2024-12-06,Both,,Journal,,10000.000,0,Investment - SpaceX - #1,1103-006-001,10000.000,Initial Investment in SpaceX
MMW-28,MMW-,28,2024-12-06,Both,,Journal,,0,10000.000,Cash - Fidelity Cash Management Account,1001-001,10000.000,Initial Investment in SpaceX
MMW-30,MMW-,30,2024-11-30,Both,,Journal,,185.270,0,Trading Securities - Water Basket - FMV Adjustment,1102-001-999,185.270,Nov 2024 M2M Trading Securities
MMW-30,MMW-,30,2024-11-30,Both,,Journal,,0,185.270,Unrealized Securities Gain - DNU,4010-000,185.270,Nov 2024 M2M Trading Securities
MMW-31,MMW-,31,2024-11-30,Both,,Journal,,602.400,0,Investment - Anthropic PBC - FMV Adjustment,1103-003-999,1113.300,Nov 2024 M2M Linqto Investments
MMW-31,MMW-,31,2024-11-30,Both,,Journal,,510.900,0,"Investment - Databricks, Inc. - FMV Adjustment",1103-005-999,1113.300,Nov 2024 M2M Linqto Investments
MMW-31,MMW-,31,2024-11-30,Both,,Journal,,0,1113.300,Unrealized Linqto Gains - DNU,4011-000,1113.300,Nov 2024 M2M Linqto Investments
MMW-32,MMW-,32,2024-12-31,Both,,Journal,,0,419.290,Trading Securities - Water Basket - FMV Adjustment,1102-001-999,419.290,Dec 2024 M2M Trading Securities
MMW-32,MMW-,32,2024-12-31,Both,,Journal,,419.290,0,Unrealized Securities Gain - DNU,4010-000,419.290,Dec 2024 M2M Trading Securities
MMW-33,MMW-,33,2024-12-20,Both,,Journal,VEGI,5.940,0,Cash - Fidelity Cash Management Account,1001-001,5.940,Dec 2024 VEGI Dividend
MMW-33,MMW-,33,2024-12-20,Both,,Journal,VEGI,0,5.940,Income - Ordinary Dividend,4001-001,5.940,Dec 2024 VEGI Dividend
MMW-34,MMW-,34,2024-12-24,Both,,Journal,XYL,1.210,0,Cash - Fidelity Cash Management Account,1001-001,1.210,Dec 2024 XYL Dividend
MMW-34,MMW-,34,2024-12-24,Both,,Journal,XYL,0,1.210,Income - Ordinary Dividend,4001-001,1.210,Dec 2024 XYL Dividend
MMW-35,MMW-,35,2024-12-31,Both,,Journal,FDRXX,5.080,0,Cash - Fidelity Cash Management Account,1001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
MMW-35,MMW-,35,2024-12-31,Both,,Journal,FDRXX,0,5.080,Income - Ordinary Dividend,4001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
MMW-35,MMW-,35,2024-12-31,Both,,Journal,SPAXX,0,3.500,Income - Ordinary Dividend,4001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
MMW-35,MMW-,35,2024-12-31,Both,,Journal,LAND,0,2.600,Income - Ordinary Dividend,4001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
MMW-35,MMW-,35,2024-12-31,Both,,Journal,SPAXX,3.500,0,Cash - Fidelity Cash Management Account,1001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
