Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 0.856 @ ~ $16.85,,14.42,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 12.000 @ ~ $16.85,,202.20,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X Russell 2000 Covered Call ETF (RYLD),Purchase - RYLD - 0.219 @ ~ $14.75,,3.23,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X Russell 2000 Covered Call ETF (RYLD),Purchase - RYLD - 18.000 @ ~ $14.75,,265.56,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 0.786 @ ~ $39.03,,30.68,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 6.000 @ ~ $39.03,,234.18,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,iShares 20+ Year Treasury Bond ETF (TLTW),Purchase - TLTW - 0.823 @ ~ $22.80,,18.77,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,iShares 20+ Year Treasury Bond ETF (TLTW),Purchase - TLTW - 6.000 @ ~ $22.80,,136.80,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 0.809 @ ~ $55.93,,45.25,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 0.957 @ ~ $50.99,,48.80,,,published,
2025-08-08,PUR-2025-08-08-10003,MMW-,20001,"2025-08-08 Purchase - JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Cash - Fidelity Cash Management Account,"Cash for JEPI, QYLD, RYLD, SPYI, TLTW, XYLD",,,999.89,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 0.238 @ ~ $38.87,,9.25,,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 4.000 @ ~ $38.87,,155.49,,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 0.040 @ ~ $57.48,,2.30,,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 1.000 @ ~ $57.48,,57.48,,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 0.494 @ ~ $51.41,,25.39,,,published,
2025-08-25,PUR-2025-08-25-10003,MMW-,20002,"2025-08-25 Purchase - JEPI, SPYI, XYLD",both,USD,Cash - Fidelity Cash Management Account,"Cash for JEPI, SPYI, XYLD",,,249.91,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Columbia Multi-Sector Municipal Income ETF (MUST),Purchase - MUST - 0.047 @ ~ $20.03,,0.94,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Columbia Multi-Sector Municipal Income ETF (MUST),Purchase - MUST - 1.000 @ ~ $20.04,,20.04,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 0.561 @ ~ $16.66,,9.35,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 7.000 @ ~ $16.66,,116.65,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 0.239 @ ~ $38.91,,9.30,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 3.000 @ ~ $38.90,,116.70,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,iShares 20+ Year Treasury Bond ETF (TLTW),Purchase - TLTW - 0.919 @ ~ $22.84,,20.98,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 0.225 @ ~ $57.15,,12.86,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 1.000 @ ~ $57.14,,57.14,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 0.536 @ ~ $51.41,,27.55,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 6.000 @ ~ $51.41,,308.44,,,published,
2025-08-26,PUR-2025-08-26-10003,MMW-,20003,"2025-08-26 Purchase - JEPI, MUST, QYLD, SPYI, TLTW, XYLD",both,USD,Cash - Fidelity Cash Management Account,"Cash for JEPI, MUST, QYLD, SPYI, TLTW, XYLD",,,699.95,,published,
