Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Emerging Markets Multifactor ETF (FDEM),Purchase - FDEM - 0.390 @ ~ $30.70,,11.97,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Emerging Markets Multifactor ETF (FDEM),Purchase - FDEM - 65.000 @ ~ $30.76,,1999.40,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Small Cap ETF (FESM),Purchase - FESM - 0.244 @ ~ $38.47,,9.39,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Small Cap ETF (FESM),Purchase - FESM - 15.000 @ ~ $38.48,,577.20,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Momentum Factor ETF (FMDE),Purchase - FMDE - 0.933 @ ~ $36.53,,34.08,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Momentum Factor ETF (FMDE),Purchase - FMDE - 27.000 @ ~ $36.53,,986.31,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Large Cap Core ETF (FELC),Purchase - FELC - 0.639 @ ~ $38.23,,24.43,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Large Cap Core ETF (FELC),Purchase - FELC - 262.000 @ ~ $38.23,,10014.95,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Developed Markets Multifactor ETF (FDEV),Purchase - FDEV - 0.176 @ ~ $34.12,,6.01,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Developed Markets Multifactor ETF (FDEV),Purchase - FDEV - 70.000 @ ~ $34.11,,2387.77,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Nasdaq Composite Index ETF (ONEQ),Purchase - ONEQ - 0.705 @ ~ $92.48,,65.20,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Nasdaq Composite Index ETF (ONEQ),Purchase - ONEQ - 42.000 @ ~ $92.46,,3883.19,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Cash - Fidelity Cash Management Account,"Cash for FDEM, FDEV, FELC, FESM, FMDE, ONEQ",,,19999.90,,published,
