symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
SPAXX,FIDELITY GOVERNMENT MONEY MARKET,5.890,1.000,161.440,5.890,,
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,8780.840,1.000,10334.050,8780.840,,
RYLD,GLOBAL X FDS RUSSELL 2000,221.842,15.120,2991.220,3354.250,3668.780,-314.530
XYLD,GLOBAL X FDS S&P 500 COVERED,65.954,38.950,2010.770,2568.900,2755.580,-186.680
QYLD,GLOBAL X FDS NASDAQ 100 COVER,203.066,16.640,3059.370,3379.010,3742.610,-363.600
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,40.360,432.310,430.880,399.980,30.900
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,26.818,57.150,1341.060,1532.640,1575.030,-42.390
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,162.501,51.440,7867.850,8359.050,8410.140,-51.090
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,49.830,20.030,975.170,998.090,1020.980,-22.890
TLTW,ISHARES TR 20+ YEAR TR BD,33.149,22.810,579.780,756.120,776.540,-20.420
CWCO,CONSOLIDATED WATER CO LTD,19.186,33.270,558.120,638.310,499.990,138.320
ALCO,ALICO INC,7.630,33.840,246.290,258.190,199.980,58.210
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,143.510,594.470,608.330,599.960,8.370
APO,APOLLO GLOBAL MGMT INC COM,5.860,136.230,851.570,798.300,879.920,-81.620
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,502.980,5156.700,5496.560,5499.910,-3.350
BX,BLACKSTONE INC,14.422,171.400,2494.420,2471.930,2309.850,162.080
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,46.930,296.600,306.120,349.980,-43.860
ECL,ECOLAB INC,1.920,277.040,502.570,531.910,499.910,32.000
FERG,FERGUSON ENTERPRISES INC COM,1.465,231.150,327.170,338.630,299.960,38.670
GWRS,GLOBAL WTR RES INC COM,7.556,9.660,72.150,72.990,99.990,-27.000
KKR,KKR &CO INC COM,8.149,139.490,1194.480,1136.700,1099.950,36.750
L,LOEWS CORP COM USD0.01,6.422,96.800,581.440,621.640,550.000,71.640
TPG,TPG INC COM CL A,11.880,60.350,677.990,716.950,659.970,56.980
WAT,WATERS CORP,0.713,301.800,205.880,215.180,249.660,-34.480
XYL,XYLEM INC COM USD0.01,3.354,141.560,485.050,474.790,449.980,24.810
FPI,FARMLAND PARTNERS INC COM,54.544,11.020,571.070,601.070,599.990,1.080
LAND,GLADSTONE LD CORP COM,55.708,9.200,512.510,512.510,742.190,-229.680
