symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain,change_from_prior_period
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,14.910,2954.560,3036.010,3399.990,-363.980,81.450
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,38.940,1979.760,2012.840,2199.980,-187.140,33.080
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,16.720,2989.960,3053.890,3399.990,-346.100,63.930
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,40.250,424.810,429.700,399.980,29.720,4.890
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,56.850,1331.800,1349.840,1400.000,-50.160,18.040
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,50.320,7574.270,7775.140,7999.960,-224.820,200.870
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,20.120,975.660,981.510,1000.000,-18.490,5.850
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,23.180,580.800,588.930,599.990,-11.060,8.130
CWCO,CONSOLIDATED WATER CO LTD,19.186,30.020,518.590,575.960,499.990,75.970,57.370
ALCO,ALICO INC,7.630,32.680,246.060,249.340,199.980,49.360,3.280
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,139.110,606.040,589.680,599.960,-10.280,-16.360
APO,APOLLO GLOBAL MGMT INC COM,5.860,141.870,765.840,831.350,879.920,-48.570,65.510
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,485.770,5507.270,5308.490,5499.910,-191.420,-198.780
BX,BLACKSTONE INC,14.422,149.580,2001.190,2157.240,2309.850,-152.610,156.050
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,45.480,308.210,296.660,349.980,-53.320,-11.550
ECL,ECOLAB INC,1.920,269.440,509.990,517.320,499.910,17.410,7.330
FERG,FERGUSON ENTERPRISES INC COM,1.465,217.750,267.120,319.000,299.960,19.040,51.880
GWRS,GLOBAL WTR RES INC COM ISIN #US3794631024 SEDOL #BD31884,7.556,10.190,76.690,76.990,99.990,-23.000,0.300
KKR,KKR &CO INC COM,8.149,133.030,989.770,1084.060,1099.950,-15.890,94.290
L,LOEWS CORP COM USD0.01,6.422,91.660,573.420,588.640,550.000,38.640,15.220
TPG,TPG INC COM CL A,11.880,52.450,571.780,623.100,659.970,-36.870,51.320
WAT,WATERS CORP,0.713,349.040,249.000,248.860,249.660,-0.800,-0.140
XYL,XYLEM INC COM USD0.01,3.354,129.360,422.730,433.870,449.980,-16.110,11.140
FPI,FARMLAND PARTNERS INC COM,54.544,11.510,617.430,627.800,599.990,27.810,10.370
LAND,GLADSTONE LD CORP COM,55.708,10.170,550.670,566.550,742.190,-175.640,15.880
