symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain,change_from_prior_period
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,4503.320,1.000,1358.610,4503.320,,,3144.710
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,16.050,,3268.140,3399.990,-131.850,-131.850
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,41.820,,2161.710,2199.980,-38.270,-38.270
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,17.940,,3276.720,3399.990,-123.270,-123.270
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,37.250,408.070,397.680,399.980,-2.300,-10.390
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,59.410,,1410.630,1400.000,10.630,10.630
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,50.720,,7836.950,7999.960,-163.010,-163.010
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,20.590,,1004.440,1000.000,4.440,4.440
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,24.200,,614.840,599.990,14.850,14.850
CWCO,CONSOLIDATED WATER CO LTD,19.186,27.070,502.280,519.360,499.990,19.370,17.080
ALCO,ALICO INC,7.630,29.370,235.690,224.090,199.980,24.110,-11.600
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,135.970,528.340,576.370,599.960,-23.590,48.030
APO,APOLLO GLOBAL MGMT INC COM,5.860,149.270,,874.720,879.920,-5.200,-5.200
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,513.830,,5615.130,5499.910,115.220,115.220
BX,BLACKSTONE INC,14.422,161.160,,2324.240,2309.850,14.390,14.390
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,45.450,295.420,296.470,349.980,-53.510,1.050
ECL,ECOLAB INC,1.920,269.010,480.360,516.490,499.910,16.580,36.130
FERG,FERGUSON ENTERPRISES INC COM,1.465,177.500,265.340,260.030,299.960,-39.930,-5.310
GWRS,GLOBAL WTR RES INC COM,7.556,11.480,86.890,86.740,99.990,-13.250,-0.150
KKR,KKR &CO INC COM,8.149,135.590,,1104.920,1099.950,4.970,4.970
L,LOEWS CORP COM USD0.01,6.422,86.670,,556.590,550.000,6.590,6.590
TPG,TPG INC COM CL A,11.880,55.160,,655.300,659.970,-4.670,-4.670
WAT,WATERS CORP,0.713,377.340,296.230,269.040,249.660,19.380,-27.190
XYL,XYLEM INC COM USD0.01,3.354,130.890,416.030,439.000,449.980,-10.980,22.970
FPI,FARMLAND PARTNERS INC COM,54.544,11.730,636.520,639.800,599.990,39.810,3.280
LAND,GLADSTONE LD CORP COM,55.708,11.460,604.980,638.410,742.190,-103.780,33.430
