settlement_date,action,symbol,security_name,quantity,price,amount,transaction_cost,basket
2025-02-07,You Bought,MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.000,20.500,984.000,,10003
2025-02-07,You Bought,QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.000,18.615,3387.910,,10003
2025-02-07,You Bought,RYLD,GLOBAL X FDS RUSSELL 2000,203.000,16.698,3389.590,,10003
2025-02-28,You Bought,APO,APOLLO GLOBAL MGMT INC COM,5.000,150.169,750.840,,10005
2025-02-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,9.000,503.280,4529.520,,10005
2025-02-28,You Sold,VEGI,ISHARES INC MSCI AGRICULTURE,10.676,37.250,397.680,,
