settlement_date,security_name,symbol,cusip,description,quantity,price,amount
2025-02-06,FERGUSON ENTERPRISES INC COM,FERG,31488V107,Dividend Received,,,1.220
2025-02-21,CALIFORNIA WATER SERVICE GROUP,CWT,130788102,Dividend Received,,,1.960
2025-02-28,FIDELITY GOVERNMENT CASH RESERVES,FDRXX,316067107,Reinvestment,53.630,1.000,-53.630
2025-02-28,FIDELITY GOVERNMENT CASH RESERVES,FDRXX,316067107,Dividend Received,,,53.630
2025-02-28,NEOS ETF TRUST NEOS S&P 500 HI,SPYI,78433H303,Dividend Received,,,79.450
