Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-02-06,DIV-2025-02-06,MMW-,10001,2025-02-06 Dividends - FERG,both,USD,Cash - Fidelity Cash Management Account,Dividend - FERG,,1.22,,,published,
2025-02-06,DIV-2025-02-06,MMW-,10001,2025-02-06 Dividends - FERG,both,USD,Income - Ordinary Dividends,Income - FERG,,,1.22,,published,
2025-02-21,DIV-2025-02-21,MMW-,10002,2025-02-21 Dividends - CWT,both,USD,Cash - Fidelity Cash Management Account,Dividend - CWT,,1.96,,,published,
2025-02-21,DIV-2025-02-21,MMW-,10002,2025-02-21 Dividends - CWT,both,USD,Cash - Fidelity Cash Management Account,Dividend - CWT,,0.26,,,published,
2025-02-21,DIV-2025-02-21,MMW-,10002,2025-02-21 Dividends - CWT,both,USD,Income - Ordinary Dividends,Income - CWT,,,2.22,,published,
2025-02-28,DIV-2025-02-28,MMW-,10003,"2025-02-28 Dividends - FDRXX, GWRS, LAND, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDRXX,,53.63,,,published,
2025-02-28,DIV-2025-02-28,MMW-,10003,"2025-02-28 Dividends - FDRXX, GWRS, LAND, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - LAND,,2.60,,,published,
2025-02-28,DIV-2025-02-28,MMW-,10003,"2025-02-28 Dividends - FDRXX, GWRS, LAND, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - GWRS,,0.19,,,published,
2025-02-28,DIV-2025-02-28,MMW-,10003,"2025-02-28 Dividends - FDRXX, GWRS, LAND, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - SPYI,,79.45,,,published,
2025-02-28,DIV-2025-02-28,MMW-,10003,"2025-02-28 Dividends - FDRXX, GWRS, LAND, SPYI",both,USD,Income - Ordinary Dividends,"Income - FDRXX, GWRS, LAND, SPYI",,,135.87,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Columbia Multi-Sector Municipal Income ETF (MUST),Purchase - MUST - 0.783 @ ~ $20.43,,16.00,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Columbia Multi-Sector Municipal Income ETF (MUST),Purchase - MUST - 48.000 @ ~ $20.50,,984.00,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 0.649 @ ~ $18.62,,12.08,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X NASDAQ 100 Covered Call ETF (QYLD),Purchase - QYLD - 182.000 @ ~ $18.61,,3387.91,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X Russell 2000 Covered Call ETF (RYLD),Purchase - RYLD - 0.623 @ ~ $16.70,,10.40,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X Russell 2000 Covered Call ETF (RYLD),Purchase - RYLD - 203.000 @ ~ $16.70,,3389.59,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 0.691 @ ~ $42.56,,29.41,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Global X S&P 500 Covered Call ETF (XYLD),Purchase - XYLD - 51.000 @ ~ $42.56,,2170.57,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,iShares 20+ Year Treasury Bond ETF (TLTW),Purchase - TLTW - 0.407 @ ~ $23.62,,9.61,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,iShares 20+ Year Treasury Bond ETF (TLTW),Purchase - TLTW - 25.000 @ ~ $23.61,,590.38,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 0.744 @ ~ $58.96,,43.87,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,JPMorgan Equity Premium Income ETF (JEPI),Purchase - JEPI - 23.000 @ ~ $58.96,,1356.13,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 0.514 @ ~ $51.77,,26.61,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Neos S&P 500 High Income ETF (SPYI),Purchase - SPYI - 154.000 @ ~ $51.77,,7973.35,,,published,
2025-02-07,PUR-2025-02-07-10003,MMW-,20001,"2025-02-07 Purchase - JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",both,USD,Cash - Fidelity Cash Management Account,"Cash for JEPI, MUST, QYLD, RYLD, SPYI, TLTW, XYLD",,,19999.91,,published,
2025-02-28,PUR-2025-02-28-10005,MMW-,20002,"2025-02-28 Purchase - APO, BRKB, BX, KKR, L, TPG",both,USD,Apollo Global Management Inc. (APO),Purchase - APO - 0.860 @ ~ $150.09,,129.08,,,published,
