Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-06-02,DIV-2025-06-02,MMW-,10001,2025-06-02 Dividends - TPG,both,USD,Cash - Fidelity Cash Management Account,Dividend - TPG,,4.87,,,published,
2025-06-02,DIV-2025-06-02,MMW-,10001,2025-06-02 Dividends - TPG,both,USD,Income - Ordinary Dividends,Income - TPG,,,4.87,,published,
2025-06-03,DIV-2025-06-03,MMW-,10002,2025-06-03 Dividends - AWK,both,USD,Cash - Fidelity Cash Management Account,Dividend - AWK,,3.51,,,published,
2025-06-03,DIV-2025-06-03,MMW-,10002,2025-06-03 Dividends - AWK,both,USD,Income - Ordinary Dividends,Income - AWK,,,3.51,,published,
2025-06-04,DIV-2025-06-04,MMW-,10003,"2025-06-04 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - MUST,,2.73,,,published,
2025-06-04,DIV-2025-06-04,MMW-,10003,"2025-06-04 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - JEPI,,12.82,,,published,
2025-06-04,DIV-2025-06-04,MMW-,10003,"2025-06-04 Dividends - JEPI, MUST",both,USD,Income - Ordinary Dividends,"Income - JEPI, MUST",,,15.55,,published,
2025-06-06,DIV-2025-06-06,MMW-,10004,2025-06-06 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,10.64,,,published,
2025-06-06,DIV-2025-06-06,MMW-,10004,2025-06-06 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,10.64,,published,
2025-06-10,DIV-2025-06-10,MMW-,10005,2025-06-10 Dividends - L,both,USD,Cash - Fidelity Cash Management Account,Dividend - L,,0.40,,,published,
2025-06-10,DIV-2025-06-10,MMW-,10005,2025-06-10 Dividends - L,both,USD,Income - Ordinary Dividends,Income - L,,,0.40,,published,
2025-06-20,DIV-2025-06-20,MMW-,10006,2025-06-20 Dividends - VEGI,both,USD,Cash - Fidelity Cash Management Account,Dividend - VEGI,,4.30,,,published,
2025-06-20,DIV-2025-06-20,MMW-,10006,2025-06-20 Dividends - VEGI,both,USD,Income - Ordinary Dividends,Income - VEGI,,,4.30,,published,
