Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-02-28,UNR-2025-02-10001,MMW-,1,"2025-02-28 Mark-to-Market - Water Investments",both,USD,Unrealized Gain - Equity Baskets - Water Investments,"Unrealized Loss - Water Investments",,128.09,,,published,
2025-02-28,UNR-2025-02-10001,MMW-,1,"2025-02-28 Mark-to-Market - Water Investments",both,USD,Trading Securities - Water Basket - FMV Adjustment,"FMV Adjustment - Water Investments",,,128.09,,published,
2025-02-28,UNR-2025-02-10003,MMW-,2,"2025-02-28 Mark-to-Market - Buy Write ETFs",both,USD,Unrealized Gain - Equity Baskets - Buy Write ETFs,"Unrealized Loss - Buy Write ETFs",,426.48,,,published,
2025-02-28,UNR-2025-02-10003,MMW-,2,"2025-02-28 Mark-to-Market - Buy Write ETFs",both,USD,Trading Securities - Buy-Write ETFs - FMV Adjustment,"FMV Adjustment - Buy Write ETFs",,,426.48,,published,
2025-02-28,UNR-2025-02-10005,MMW-,3,"2025-02-28 Mark-to-Market - Holding Companies",both,USD,Trading Securities - Holding Companies - FMV Adjustment,"FMV Adjustment - Holding Companies",,131.30,,,published,
2025-02-28,UNR-2025-02-10005,MMW-,3,"2025-02-28 Mark-to-Market - Holding Companies",both,USD,Unrealized Gain - Equity Baskets - Holding Companies,"Unrealized Gain - Holding Companies",,,131.30,,published,
