Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-12-31,UNR-2025-12-31-10001,MMW-,40001,2025-12-31 Mark-to-Market - Water Investments,both,USD,Unrealized Gain - Equity Baskets - Water Investments,Unrealized Loss - Water Investments,,100.87,,,published,
2025-12-31,UNR-2025-12-31-10001,MMW-,40001,2025-12-31 Mark-to-Market - Water Investments,both,USD,Trading Securities - Water Basket - FMV Adjustment,FMV Adjustment - Water Investments,,,100.87,,published,
2025-12-31,UNR-2025-12-31-10003,MMW-,40002,2025-12-31 Mark-to-Market - Buy Write ETFs,both,USD,Unrealized Gain - Equity Baskets - Buy Write ETFs,Unrealized Loss - Buy Write ETFs,,8.13,,,published,
2025-12-31,UNR-2025-12-31-10003,MMW-,40002,2025-12-31 Mark-to-Market - Buy Write ETFs,both,USD,Trading Securities - Buy-Write ETFs - FMV Adjustment,FMV Adjustment - Buy Write ETFs,,,8.13,,published,
2025-12-31,UNR-2025-12-31-10005,MMW-,40003,2025-12-31 Mark-to-Market - Holding Companies,both,USD,Trading Securities - Holding Companies - FMV Adjustment,FMV Adjustment - Holding Companies,,165.02,,,published,
2025-12-31,UNR-2025-12-31-10005,MMW-,40003,2025-12-31 Mark-to-Market - Holding Companies,both,USD,Unrealized Gain - Equity Baskets - Holding Companies,Unrealized Gain - Holding Companies,,,165.02,,published,
2025-12-31,UNR-2025-12-31-10007,MMW-,40004,2025-12-31 Mark-to-Market - Balanced ETFs,both,USD,Trading Securities - Balanced ETFs - FMV Adjustment,FMV Adjustment - Balanced ETFs,,34.71,,,published,
2025-12-31,UNR-2025-12-31-10007,MMW-,40004,2025-12-31 Mark-to-Market - Balanced ETFs,both,USD,Unrealized Gain - Equity Baskets - Balanced ETFs,Unrealized Gain - Balanced ETFs,,,34.71,,published,
