settlement_date,action,symbol,security_name,quantity,price,amount,transaction_cost,basket
2025-12-02,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,36132.090,1.000,36132.090,,
2025-12-02,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,36044.010,1.000,36044.010,,
2025-12-05,You Bought,FDEM,FIDELITY EMERG MKTS MLTFT,0.390,30.705,11.970,,10007
2025-12-05,You Bought,FDEM,FIDELITY EMERG MKTS MLTFT,65.000,30.760,1999.400,,10007
2025-12-05,You Bought,FESM,FIDELITY ENHANCED SMALL CAP ETF,0.244,38.470,9.390,,10007
2025-12-05,You Bought,FESM,FIDELITY ENHANCED SMALL CAP ETF,15.000,38.480,577.200,,10007
2025-12-05,You Bought,FMDE,FIDELITY ENHANCED MID CAP ETF,0.933,36.530,34.080,,10007
2025-12-05,You Bought,FMDE,FIDELITY ENHANCED MID CAP ETF,27.000,36.530,986.310,,10007
2025-12-05,You Bought,FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,0.639,38.225,24.430,,10007
2025-12-05,You Bought,FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,262.000,38.225,10014.950,,10007
2025-12-05,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,19979.330,1.000,19979.330,,
2025-12-05,You Bought,FDEV,FIDELITY INTL MULTIFACTOR,0.176,34.120,6.010,,10007
2025-12-05,You Bought,FDEV,FIDELITY INTL MULTIFACTOR,70.000,34.111,2387.770,,10007
2025-12-05,You Bought,ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,0.705,92.480,65.200,,10007
2025-12-05,You Bought,ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,42.000,92.457,3883.190,,10007
2025-12-19,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,5.710,1.000,5.710,,
2025-12-23,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,135.590,1.000,135.590,,
2025-12-29,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,3083.210,1.000,3083.210,,
2025-12-31,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,74.350,1.000,74.350,,
