settlement_date,action,symbol,security_name,quantity,price,amount,transaction_cost,basket
2025-10-01,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,29044.110,1.000,29044.110,,
2025-10-01,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,29024.600,1.000,29024.600,,
2025-10-06,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,17571.210,1.000,17571.210,,
2025-10-08,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,5.260,1.000,5.260,,
2025-10-14,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,46620.960,1.000,46620.960,,
2025-10-14,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,46620.580,1.000,46620.580,,
2025-10-16,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,4.520,1.000,4.520,,
2025-10-20,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,2274.510,1.000,2274.510,,
2025-10-21,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,2000.000,1.000,2000.000,,
2025-10-27,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42535.230,1.000,42535.230,,
2025-10-27,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42350.970,1.000,42350.970,,
